miRNA	bladder	breast_cancer	cervical	head n neck	KIRC	KIRP	LUAD	LUSC	PRAD	STAD	THCA	UCEC	
hsa-mir-363	6.034014	17.416665	19.542212	11.301005	41.745222	35.766809	1.174646	4.48422	92.354727	11.632425	1.014761	9.518025	
hsa-mir-3927	0.0	0.0	0.118438	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-3162	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-3919	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.273704	0.0	0.0	
hsa-mir-561	0.0	1.130952	0.473751	0.0	2.427048	0.683442	0.0	2.690532	0.328665	0.0	0.0	0.717629	
hsa-mir-197	33.382208	493.773768	129.926103	932.000524	322.311947	200.818103	132.500055	621.811906	43.164605	227.995524	98.837753	54.841955	
hsa-mir-513c	0.0	0.22619	0.236875	0.664765	0.0	0.797349	0.0	0.0	0.0	0.136852	0.0	0.0	
hsa-mir-4309	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-203	22.755138	2951.785468	14456.618124	19849.882769	12.135239	251.962362	1428.13446	55413.605065	394.506964	2942.866593	4400.005114	162.14636	
hsa-mir-421	1.050699	2.261905	1.539689	8.641945	3.883276	2.961583	4.463654	10.762129	1.862432	0.68426	2.232475	1.057558	
hsa-mir-3139	0.0	0.0	0.0	0.0	0.0	0.113907	0.0	0.0	0.0	0.0	0.0	0.03777	
hsa-mir-1246	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-4257	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-3148	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-2276	0.0	0.0	0.118438	0.0	0.0	0.455628	0.0	2.391584	0.0	0.0	0.202952	0.0	
hsa-mir-19a	0.4503	63.559519	16.462833	15.289595	19.416382	2.278141	8.927309	12.256869	2.410206	7.800567	6.900377	6.911899	
hsa-mir-3180-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-412	0.06004	1.357143	9.830325	6.64765	0.48541	1.025163	3.993796	2.391584	0.438219	0.957964	0.0	0.22662	
hsa-mir-1268	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-548i-3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-512-1	0.0	0.904762	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-155	6.994653	320.285688	293.370062	1132.094788	1185.370144	36.10853	1379.269192	379.664	64.527798	719.978662	357.195987	28.969545	
hsa-mir-1244-3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-3165	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.136852	0.0	0.0	
hsa-mir-548h-2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-621	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-548a-2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-145	2522.368031	358.285684	2928.370922	565.050246	781.509391	1194.315264	360.851214	689.374161	1799.8764	18019.446951	676.033996	4346.11166	
hsa-mir-3175	0.0	0.22619	0.118438	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-3147	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-1267	0.0	0.0	0.0	0.664765	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-513a-1	0.0	0.22619	0.0	0.0	0.0	0.0	0.0	0.597896	0.0	0.0	0.0	0.0	
hsa-mir-507	0.0	0.0	0.0	0.0	0.0	0.911256	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-346	0.03002	0.0	0.236875	0.664765	0.0	0.0	0.0	0.0	0.109555	0.0	0.608857	0.03777	
hsa-mir-658	0.0	0.452381	0.473751	0.0	0.0	0.113907	0.469858	0.0	0.21911	0.136852	1.217714	0.11331	
hsa-mir-512-2	0.0	2.261905	0.0	0.664765	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-1272	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-3665	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-517b	0.0	0.452381	0.0	0.0	0.0	0.0	0.234929	0.0	0.0	0.0	0.0	0.0	
hsa-mir-1280	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.298948	0.0	0.0	0.0	0.0	
hsa-mir-592	0.03002	2.714285	1.065939	1.994295	11.16442	1.480791	0.704788	0.896844	0.109555	1.231668	4.870854	0.07554	
hsa-mir-518d	0.0	0.0	0.0	0.664765	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-146a	1.711138	311.46426	90.24949	289.837538	48.055546	56.156168	1017.243332	63.974879	18.733877	185.160831	104.114512	3.172675	
hsa-mir-93	205.036403	3377.023528	1856.865493	2399.136869	3202.246864	759.987739	1991.259695	4501.85841	662.149429	1271.903	751.126334	1019.410728	
hsa-mir-559	0.0	0.678571	0.0	0.0	0.0	0.0	0.234929	0.298948	0.0	0.410556	0.0	0.0	
hsa-mir-20b	2.041358	19.67857	18.120961	1.994295	36.891127	21.300616	1.174646	2.391584	49.190121	5.33723	0.0	9.366946	
hsa-mir-3689a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-718	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-3155	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03777	
hsa-mir-3907	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-151	375.609878	4862.190071	1918.689947	2008.255052	2495.490545	2410.956308	5542.684047	5550.568106	1082.730444	1369.478516	4390.872262	1259.740868	
hsa-mir-1976	0.1501	12.440475	5.803445	48.527845	20.872611	13.554937	12.921105	28.699011	1.752877	7.663715	7.915138	0.528779	
hsa-mir-181c	7.565033	369.595207	86.814798	117.663404	40.774403	27.67941	112.531075	26.307427	35.276657	72.531589	272.36194	109.268442	
hsa-mir-381	7.775173	20.357141	99.250752	232.002983	1.941638	21.52843	25.137422	30.193751	21.034529	153.548006	5.276759	58.24125	
hsa-mir-10a	1124.638177	17858.641369	10100.362881	1518.32325	35332.476424	44110.271578	17000.884743	11737.596571	666.860287	39826.274527	3229.173495	7318.341688	
hsa-mir-3136	0.0	0.452381	0.236875	1.32953	0.0	0.113907	0.0	1.793688	0.0	0.0	0.202952	0.07554	
hsa-mir-509-1	0.0	2.488095	0.355313	0.0	2.427048	17.086055	1.879433	1.793688	0.0	0.273704	1.420666	0.491009	
hsa-mir-3614	0.18012	3.845238	4.974381	24.596305	0.48541	0.341721	6.343088	9.267389	0.109555	3.421301	0.608857	0.491009	
hsa-mir-1825	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03777	
hsa-mir-490	11.017329	0.0	0.236875	0.0	0.0	0.0	0.234929	0.0	0.0	40.371356	0.0	0.339929	
hsa-mir-3119-1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-885	0.03002	0.678571	0.236875	0.0	19.416382	0.113907	0.0	0.597896	0.109555	1.505373	0.0	0.566549	
hsa-mir-377	0.42028	0.678571	7.58001	11.96577	0.0	0.797349	1.879433	0.896844	0.985994	5.884638	0.608857	1.473028	
hsa-mir-23a	461.917295	10482.796745	2904.091204	2357.256674	3876.480742	1250.699247	4133.108992	3386.184356	530.245406	2044.022295	3368.804654	1161.08578	
hsa-mir-548f-4	0.0	0.22619	0.0	0.664765	0.0	0.0	0.0	0.597896	0.0	0.0	0.0	0.0	
hsa-mir-655	0.27018	0.452381	2.842504	4.653355	0.0	0.113907	0.939717	1.49474	0.547774	2.737041	0.0	0.944249	
hsa-mir-23b	572.420809	1972.380788	1792.198536	622.884801	1460.111955	1491.498719	2877.412546	654.995138	663.573642	1771.27615	1674.559142	1994.630625	
hsa-mir-646	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-4326	0.42028	0.0	4.382193	12.630535	9.708191	1.480791	1.644504	7.772649	0.109555	0.136852	1.420666	1.473028	
hsa-mir-101-1	1346.575823	24390.117015	14564.159511	9935.577624	10232.918923	15886.842017	10613.865238	5701.536862	7388.706803	6040.102305	29658.226356	17159.337787	
hsa-mir-30c-2	103.89912	844.821358	173.629596	251.281168	2543.546092	2440.572137	394.211157	457.091541	134.752448	520.995774	769.392038	219.367822	
hsa-mir-7-3	0.0	0.0	0.0	1.32953	0.0	0.113907	0.469858	2.092636	0.109555	2.463337	0.202952	0.0	
hsa-mir-1973	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-4275	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-1302-9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-623	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-3917	0.0	0.678571	1.302814	3.323825	0.0	0.113907	4.228725	0.597896	0.547774	0.821112	2.841332	0.415469	
hsa-mir-520d	0.0	0.22619	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-3666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-1302-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-520b	0.0	2.488095	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03777	
hsa-mir-544	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-150	15.370225	78.714279	1175.019936	3562.475611	259.694114	100.124284	699.149227	332.729159	130.151145	1083.868277	456.03374	67.797045	
hsa-mir-374a	219.626108	569.999953	423.888353	481.954622	509.194628	562.017312	458.816681	879.505109	544.59709	329.266045	1121.920123	500.829428	
hsa-mir-3187	0.0	0.904762	0.236875	0.0	0.0	0.227814	0.234929	2.092636	0.109555	0.273704	0.405905	0.03777	
hsa-mir-633	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-3130-2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-4296	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-3910-1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-3912	0.21014	0.22619	0.592188	0.0	0.970819	0.455628	0.939717	0.0	0.109555	0.410556	2.638379	0.642089	
hsa-mir-3921	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11331	
hsa-mir-212	0.930619	9.72619	9.711887	15.95436	1.456229	3.303304	19.499122	11.061077	3.17709	5.33723	4.261998	6.5342	
hsa-mir-1260b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-448	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.886324	0.0	0.0	0.0	0.07554	
hsa-mir-1236	0.0	0.0	0.0	0.0	0.0	0.0	0.234929	0.597896	0.0	0.0	0.0	0.0	
hsa-mir-510	0.0	0.0	0.0	0.0	0.0	0.341721	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-3150b	0.0	0.0	2.01344	2.65906	0.0	0.455628	0.704788	5.978961	0.109555	1.231668	0.202952	0.07554	
hsa-mir-627	0.06004	0.22619	0.592188	1.32953	0.970819	0.797349	0.939717	1.49474	0.547774	2.189633	0.811809	0.604319	
hsa-mir-4319	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-3926-2	0.03002	0.452381	0.473751	0.0	0.0	0.0	0.0	0.0	0.109555	0.0	0.0	0.377699	
hsa-mir-614	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-487a	0.12008	0.0	0.710626	1.32953	0.0	0.683442	0.704788	0.0	0.766884	2.737041	0.0	0.415469	
hsa-mir-1302-3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-3167	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-135a-2	0.0	0.0	0.0	0.0	1.941638	7.29005	0.0	0.0	0.21911	0.0	40.387501	0.0	
hsa-mir-548h-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-103-2-as	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-548m	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-4316	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-3656	0.0	0.0	0.0	0.0	0.0	0.341721	0.234929	0.0	0.0	0.0	0.0	0.03777	
hsa-mir-223	18.672422	54.28571	258.075642	930.670994	241.248551	26.426432	74.00269	1714.76591	51.490773	333.097902	48.099687	38.109871	
hsa-mir-320b-1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-4280	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-3118-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-24-2	882.58715	7592.535082	2238.945355	7523.145455	1993.577061	1827.296659	3805.147862	5730.235873	1368.559011	2080.424942	3100.501759	1630.339537	
hsa-mir-3145	0.0	0.452381	0.0	0.0	0.0	0.0	0.0	0.298948	0.0	0.136852	0.0	0.0	
hsa-mir-199a-1	96.574247	2988.880703	2506.022258	1358.114886	114.071246	445.946043	618.333591	338.110224	186.462331	457.085864	225.277015	1073.723905	
hsa-mir-193a	62.74174	625.642805	164.39146	434.091542	377.163228	94.087211	246.440706	307.916473	54.777418	118.377028	307.675634	60.998456	
hsa-mir-1468	0.48032	9.273809	2.842504	0.664765	2.912457	16.858241	7.987592	2.391584	1.205103	5.063526	7.306282	4.419083	
hsa-mir-3668	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-3116-2	0.0	0.22619	0.0	0.0	0.0	0.227814	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-524	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-196a-2	0.06004	0.452381	0.0	0.0	14.076877	2.164234	0.0	0.0	0.0	0.410556	0.0	0.15108	
hsa-mir-501	2.731817	27.595236	13.265017	47.198315	80.577987	70.166734	55.208356	68.160151	4.710858	25.043926	15.018468	27.458748	
hsa-mir-3115	0.0	0.0	0.118438	0.0	0.0	0.0	0.0	0.298948	0.21911	0.0	0.0	0.03777	
hsa-mir-607	0.12008	0.22619	0.0	1.994295	0.0	0.0	0.469858	0.597896	0.328665	0.0	0.202952	0.0	
hsa-mir-1302-2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-1182	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-1-1	0.39026	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21911	0.136852	0.0	0.30216	
hsa-mir-370	0.660439	2.714285	13.383455	13.2953	0.48541	2.050327	6.812946	4.783169	2.300652	6.295195	0.202952	4.570163	
hsa-mir-1233-2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-485	0.27018	3.392857	3.671567	12.630535	0.48541	2.050327	1.879433	1.793688	0.547774	2.737041	0.811809	0.679859	
hsa-mir-365-2	23.325518	15.380951	13.62033	11.96577	56.307509	7.062236	20.673767	151.267704	11.831922	30.928564	9.741709	7.516218	
hsa-mir-194-1	3.602397	82.333326	29.372537	39.8859	2770.232356	3641.380102	77.526628	102.539175	17.638329	4902.998579	109.188319	29.687174	
hsa-mir-4259	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-891a	0.06004	0.678571	0.0	0.0	0.970819	192.047261	0.469858	40.656932	0.328665	0.821112	4.870854	0.11331	
hsa-mir-195	26.087355	34.83333	46.90131	101.044279	55.822099	67.432965	36.883881	29.296907	51.381218	66.099543	31.457601	72.744908	
hsa-mir-3173	0.09006	0.0	0.0	0.664765	0.48541	0.455628	0.234929	2.690532	0.109555	0.547408	0.202952	0.03777	
hsa-mir-802	0.0	0.678571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.663715	0.0	0.0	
hsa-mir-556	0.03002	0.678571	0.355313	0.0	0.0	0.113907	0.234929	0.298948	0.109555	0.410556	0.0	0.07554	
hsa-mir-516a-1	0.0	23.297617	0.0	0.664765	0.0	0.0	0.234929	0.298948	0.0	0.0	0.0	0.0	
hsa-mir-3124	0.0	0.452381	0.0	0.0	0.0	0.113907	0.469858	0.0	0.0	0.0	0.405905	0.03777	
hsa-mir-542	49.833152	116.488086	317.64978	144.254004	439.781061	463.032098	265.23504	146.185588	18.186103	49.677296	1130.647071	323.121852	
hsa-mir-4302	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-130b	0.750499	52.023805	11.962203	22.60201	17.960154	3.758932	31.48051	15.545298	2.957981	18.611879	5.682663	3.361525	
hsa-mir-302b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-3180-3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-583	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-3677	0.810539	2.488095	1.895002	7.97718	7.766553	2.164234	4.228725	17.637934	2.519761	3.558153	2.841332	1.473028	
hsa-mir-3674	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-1180	1.651098	18.547618	13.265017	15.289595	26.697526	29.046294	20.438838	68.160151	2.957981	9.853348	24.354272	8.309387	
hsa-mir-200c	9.126071	35228.258969	3214.160974	4431.988226	27.668345	744.382475	5928.907612	21219.032347	4355.02384	5463.270893	11548.998664	209.925336	
hsa-mir-548t	0.0	0.0	0.0	0.0	0.0	0.0	0.234929	0.0	0.438219	0.273704	0.0	0.03777	
hsa-mir-518f	0.0	0.22619	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03777	
hsa-mir-3199-1	0.1501	0.678571	0.0	0.0	0.48541	0.797349	0.469858	0.896844	0.0	0.68426	1.014761	0.339929	
hsa-mir-545	0.0	0.452381	0.0	0.0	0.970819	0.113907	0.234929	0.597896	0.0	0.136852	0.202952	0.03777	
hsa-mir-1274a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-514-2	0.03002	3.166666	0.473751	0.0	0.48541	77.342877	1.409575	3.288428	0.0	0.0	6.29152	0.15108	
hsa-mir-324	3.092057	55.416662	34.228481	57.16979	59.219966	54.903191	34.534589	98.054954	8.873942	39.9608	31.660553	15.598986	
hsa-mir-449c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.136852	0.0	0.03777	
hsa-mir-3153	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-16-2	0.4503	9.72619	6.632508	11.96577	4.854096	1.480791	2.81915	8.071597	1.533768	5.884638	6.088568	0.906479	
hsa-mir-3939	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.202952	0.0	
hsa-mir-598	5.013335	18.773808	21.792528	9.971475	39.318174	27.793317	6.578017	4.783169	12.708361	23.94911	97.214135	12.65293	
hsa-mir-4298	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-1258	0.600399	0.678571	0.236875	0.0	0.0	0.113907	0.704788	0.298948	0.109555	0.68426	0.811809	0.793169	
hsa-mir-520g	0.0	0.678571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-1911	0.03002	0.678571	0.0	0.0	0.0	0.0	0.0	23.915843	0.21911	0.0	0.202952	0.679859	
hsa-mir-299	0.27018	2.035714	5.092819	4.653355	0.0	1.13907	1.879433	2.690532	1.314658	7.253159	0.202952	0.982018	
hsa-mir-3118-6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-30e	3268.094132	16791.927172	5406.323457	5809.381297	29857.056593	18986.935888	19385.885737	12330.410518	5708.135619	12072.951451	25507.446623	8271.503939	
hsa-mir-509-3	0.0	2.488095	0.0	0.0	1.456229	24.945641	1.644504	2.98948	0.0	0.0	2.638379	0.491009	
hsa-mir-3157	0.06004	0.452381	0.118438	1.994295	0.48541	0.341721	0.234929	0.298948	0.0	0.547408	0.0	0.03777	
hsa-mir-125b-1	171.173875	598.27376	1118.051426	832.950539	944.121593	571.471596	223.652575	263.373216	336.114237	746.117405	2480.888493	839.776885	
hsa-mir-4315-1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-32	0.780519	37.095235	26.174721	54.51073	13.591468	30.185364	20.203909	31.389543	17.309664	17.517063	64.741773	6.5342	
hsa-mir-1270-2	0.06004	0.452381	0.118438	0.664765	42.230632	2.278141	1.644504	1.793688	0.328665	0.68426	0.608857	0.22662	
hsa-mir-129-2	0.39026	1.130952	1.776565	0.664765	0.0	5.695352	2.114363	2.690532	0.0	26.275595	4.46495	2.832746	
hsa-mir-939	0.03002	2.261905	0.473751	1.994295	0.970819	0.683442	1.174646	7.473701	0.328665	0.547408	0.202952	0.339929	
hsa-mir-4269	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-4287	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-200a	0.51034	1617.03558	449.944636	329.058673	611.616045	356.415113	500.634074	601.782388	194.459834	719.431254	535.996933	30.706963	
hsa-mir-548y	0.0	0.0	0.0	0.0	0.0	0.113907	0.0	0.0	0.0	0.136852	0.0	0.0	
hsa-mir-648	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-4315-2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
